Date,Price,Open,High,Low,Vol.,Change %
2017-12-01,13000.0,13050.0,13100.0,12900.0,3.31M,-0.76%
2017-12-04,13700.0,13100.0,13700.0,13050.0,10.09M,5.38%
2017-12-05,13000.0,13700.0,13700.0,13000.0,5.93M,-5.11%
2017-12-06,13250.0,13000.0,13250.0,12800.0,7.18M,1.92%
2017-12-07,13000.0,13300.0,13350.0,12850.0,5.84M,-1.89%
2017-12-08,12950.0,12950.0,13050.0,12850.0,3.17M,-0.38%
2017-12-11,12300.0,12800.0,12850.0,12300.0,4.12M,-5.02%
2017-12-12,12450.0,12400.0,12550.0,11450.0,6.71M,1.22%
2017-12-13,12000.0,12500.0,12500.0,12000.0,1.79M,-3.61%
2017-12-14,12500.0,11900.0,12500.0,11900.0,2.54M,4.17%
2017-12-15,12700.0,12500.0,12700.0,12300.0,3.32M,1.60%
2017-12-18,12750.0,12950.0,12950.0,12600.0,3.90M,0.39%
2017-12-19,12550.0,12900.0,12900.0,12500.0,3.00M,-1.57%
2017-12-20,12550.0,12550.0,12750.0,12450.0,2.96M,0.00%
2017-12-21,12300.0,12600.0,12650.0,12300.0,3.19M,-1.99%
2017-12-22,12550.0,12300.0,12650.0,12300.0,4.06M,2.03%
2017-12-25,12350.0,12650.0,12750.0,12300.0,3.77M,-1.59%
2017-12-26,12600.0,12450.0,12600.0,12350.0,3.69M,2.02%
2017-12-27,12850.0,12650.0,13100.0,12600.0,18.18M,1.98%
2017-12-28,12950.0,12900.0,13100.0,12850.0,9.64M,0.78%
2017-12-29,12850.0,13000.0,13050.0,12800.0,7.27M,-0.77%
2018-01-02,13400.0,12850.0,13500.0,12700.0,16.33M,4.28%
2018-01-03,13350.0,13500.0,13600.0,13250.0,15.70M,-0.37%
2018-01-04,13600.0,13350.0,13850.0,13350.0,26.49M,1.87%
2018-01-05,13600.0,13700.0,13800.0,13450.0,17.26M,0.00%
2018-01-08,14550.0,13700.0,14550.0,13700.0,33.85M,6.99%
2018-01-09,14850.0,15050.0,15250.0,14600.0,36.24M,2.06%
2018-01-10,15600.0,14700.0,15650.0,14500.0,49.56M,5.05%
2018-01-11,16250.0,15400.0,16500.0,15200.0,24.14M,4.17%
2018-01-12,15500.0,16100.0,16500.0,15500.0,34.24M,-4.62%
2018-01-15,15350.0,15350.0,15600.0,14950.0,37.46M,-0.97%
2018-01-16,14950.0,15000.0,15200.0,14750.0,42.13M,-2.61%
2018-01-17,14300.0,15100.0,15200.0,14300.0,27.47M,-4.35%
2018-01-18,15000.0,14150.0,15000.0,13900.0,31.29M,4.90%
2018-01-19,15450.0,15100.0,15600.0,14900.0,28.63M,3.00%
2018-01-22,15100.0,15300.0,15500.0,14850.0,24.13M,-2.27%
2018-01-25,15400.0,15200.0,15900.0,14850.0,48.55M,1.99%
2018-01-26,15700.0,15600.0,15900.0,15200.0,22.85M,1.95%
2018-01-29,16750.0,15800.0,16750.0,15750.0,34.30M,6.69%
2018-01-30,17100.0,16600.0,17300.0,16250.0,30.03M,2.09%
2018-01-31,16250.0,17200.0,17200.0,16250.0,26.19M,-4.97%
2018-02-01,15700.0,16350.0,16400.0,15650.0,26.00M,-3.38%
2018-02-02,16250.0,15800.0,16400.0,15550.0,13.87M,3.50%
2018-02-05,15150.0,15850.0,16050.0,15150.0,22.17M,-6.77%
2018-02-06,15400.0,14100.0,15400.0,14100.0,32.95M,1.65%
2018-02-07,15750.0,15900.0,16100.0,15600.0,14.29M,2.27%
2018-02-08,14900.0,15350.0,15700.0,14900.0,8.48M,-5.40%
2018-02-09,14950.0,14400.0,15150.0,14300.0,13.41M,0.34%
2018-02-12,15900.0,15400.0,15900.0,15200.0,9.91M,6.35%
2018-02-13,15900.0,16000.0,16100.0,15850.0,10.21M,0.00%
2018-02-21,16300.0,16050.0,16600.0,15900.0,16.32M,2.52%
2018-02-22,16100.0,16100.0,16700.0,16000.0,18.52M,-1.23%
2018-02-23,16450.0,16300.0,16450.0,16050.0,13.29M,2.17%
2018-02-26,16050.0,16750.0,16800.0,16050.0,19.20M,-2.43%
2018-02-27,16150.0,16200.0,16250.0,15900.0,12.58M,0.62%
2018-02-28,16100.0,16000.0,16300.0,15900.0,15.27M,-0.31%
2018-03-01,15750.0,15900.0,16150.0,15700.0,17.48M,-2.17%
2018-03-02,15700.0,15500.0,15800.0,15450.0,11.09M,-0.32%
2018-03-05,14950.0,15850.0,15900.0,14950.0,17.43M,-4.78%
2018-03-06,15300.0,15200.0,15450.0,15000.0,12.65M,2.34%
2018-03-07,15050.0,15350.0,15350.0,14950.0,10.58M,-1.63%
2018-03-08,15200.0,15100.0,15300.0,15000.0,6.05M,1.00%
2018-03-09,15400.0,15500.0,15500.0,15250.0,7.22M,1.32%
2018-03-12,15950.0,15550.0,16150.0,15450.0,17.25M,3.57%
2018-03-13,16100.0,16000.0,16200.0,15900.0,11.57M,0.94%
2018-03-14,16050.0,16200.0,16450.0,16050.0,16.44M,-0.31%
2018-03-15,16150.0,16050.0,16400.0,15900.0,12.45M,0.62%
2018-03-16,16300.0,16400.0,16550.0,16250.0,22.64M,0.93%
2018-03-19,16050.0,16500.0,16600.0,16000.0,12.28M,-1.53%
2018-03-20,16000.0,15900.0,16050.0,15900.0,12.48M,-0.31%
2018-03-21,16250.0,16100.0,16500.0,16050.0,19.14M,1.56%
2018-03-22,16000.0,16300.0,16450.0,15950.0,13.09M,-1.54%
2018-03-23,15750.0,15500.0,15800.0,15400.0,17.46M,-1.56%
2018-03-26,15650.0,15500.0,15750.0,15400.0,10.95M,-0.63%
2018-03-27,15500.0,15800.0,15900.0,15450.0,8.28M,-0.96%
2018-03-28,15350.0,15450.0,15500.0,15300.0,6.52M,-0.97%
2018-03-29,15250.0,15450.0,15500.0,15200.0,5.94M,-0.65%
2018-03-30,15500.0,15300.0,15550.0,15200.0,5.87M,1.64%
2018-04-02,15800.0,15650.0,15900.0,15550.0,8.27M,1.94%
2018-04-03,15700.0,15700.0,15850.0,15600.0,6.88M,-0.63%
2018-04-04,15600.0,15750.0,15950.0,15600.0,7.38M,-0.64%
2018-04-05,15700.0,15650.0,15750.0,15550.0,6.48M,0.64%
2018-04-06,16100.0,15750.0,16300.0,15750.0,19.59M,2.55%
2018-04-09,16400.0,16200.0,16500.0,16100.0,14.76M,1.86%
2018-04-10,16200.0,16500.0,16650.0,16000.0,12.99M,-1.22%
2018-04-11,15650.0,16200.0,16300.0,15550.0,16.59M,-3.40%
2018-04-12,15600.0,15550.0,15700.0,15400.0,10.11M,-0.32%
2018-04-13,15450.0,15750.0,15800.0,15350.0,8.57M,-0.96%
2018-04-16,15500.0,15400.0,15650.0,15200.0,4.94M,0.32%
2018-04-17,15800.0,15500.0,15800.0,15500.0,4.94M,1.94%
2018-04-18,15500.0,15850.0,15850.0,15500.0,4.81M,-1.90%
2018-04-19,15000.0,15500.0,15550.0,15000.0,9.40M,-3.23%
2018-04-20,15450.0,15200.0,15450.0,14900.0,7.86M,3.00%
2018-04-23,14400.0,15450.0,15500.0,14400.0,11.19M,-6.80%
2018-04-24,14150.0,14400.0,14500.0,14100.0,7.28M,-1.74%
2018-04-26,13350.0,14100.0,14250.0,13200.0,8.53M,-5.65%
2018-04-27,13850.0,13350.0,13950.0,13300.0,5.68M,3.75%
2018-05-02,13300.0,13800.0,13950.0,13200.0,5.16M,-3.97%
2018-05-03,13700.0,13300.0,13700.0,12650.0,7.69M,3.01%
2018-05-04,13450.0,13700.0,13800.0,13350.0,4.01M,-1.82%
2018-05-07,13950.0,13500.0,13950.0,13400.0,4.88M,3.72%
2018-05-08,13650.0,13900.0,14000.0,13650.0,3.35M,-2.15%
2018-05-09,13500.0,13600.0,13750.0,13450.0,2.45M,-1.10%
2018-05-10,12900.0,13500.0,13500.0,12800.0,5.84M,-4.44%
2018-05-11,13100.0,12900.0,13150.0,12700.0,5.00M,1.55%
2018-05-14,13100.0,13300.0,13300.0,12950.0,2.83M,0.00%
2018-05-15,13100.0,13000.0,13300.0,13000.0,3.44M,0.00%
2018-05-16,13050.0,13050.0,13200.0,13000.0,2.50M,-0.38%
2018-05-17,12750.0,13050.0,13100.0,12750.0,2.66M,-2.30%
2018-05-18,12750.0,12850.0,12900.0,12500.0,3.84M,0.00%
2018-05-21,12600.0,12800.0,12950.0,12600.0,3.40M,-1.18%
2018-05-22,12000.0,12500.0,12550.0,11750.0,7.44M,-4.76%
2018-05-23,12150.0,12000.0,12250.0,11800.0,4.60M,1.25%
2018-05-24,12050.0,12200.0,12300.0,11950.0,4.27M,-0.82%
2018-05-25,11650.0,12000.0,12100.0,11650.0,3.72M,-3.32%
2018-05-28,10850.0,11600.0,11650.0,10850.0,7.85M,-6.87%
2018-05-29,11600.0,10900.0,11600.0,10900.0,7.05M,6.91%
2018-05-30,11500.0,11600.0,11750.0,11400.0,4.36M,-0.86%
2018-05-31,11750.0,11450.0,11850.0,11400.0,3.23M,2.17%
2018-06-01,11750.0,11700.0,12000.0,11700.0,4.31M,0.00%
2018-06-04,12550.0,12000.0,12550.0,12000.0,7.42M,6.81%
2018-06-05,12900.0,12700.0,13150.0,12600.0,8.11M,2.79%
2018-06-06,13300.0,12800.0,13450.0,12700.0,8.48M,3.10%
2018-06-07,13000.0,13300.0,13350.0,12950.0,7.11M,-2.26%
2018-06-08,12900.0,13000.0,13100.0,12850.0,3.97M,-0.77%
2018-06-11,12600.0,12800.0,12900.0,12600.0,3.76M,-2.33%
2018-06-12,12800.0,12500.0,12950.0,12350.0,8.55M,1.59%
2018-06-13,12800.0,12800.0,12950.0,12700.0,1.81M,0.00%
2018-06-14,12550.0,12750.0,12800.0,12500.0,2.46M,-1.95%
2018-06-15,12400.0,12400.0,12600.0,12350.0,5.46M,-1.20%
2018-06-18,12000.0,12400.0,12550.0,11850.0,3.99M,-3.23%
2018-06-19,11700.0,11950.0,11950.0,11300.0,8.28M,-2.50%
2018-06-20,12000.0,11750.0,12000.0,11600.0,3.29M,2.56%
2018-06-21,11700.0,11900.0,12000.0,11650.0,2.49M,-2.50%
2018-06-22,12000.0,11600.0,12050.0,11600.0,3.19M,2.56%
2018-06-25,12150.0,12350.0,12350.0,12050.0,2.83M,1.25%
2018-06-26,12000.0,11900.0,12050.0,11850.0,2.55M,-1.23%
2018-06-27,11800.0,12000.0,12200.0,11800.0,1.75M,-1.67%
2018-06-28,11550.0,11800.0,11850.0,11400.0,3.66M,-2.12%
2018-06-29,11550.0,11600.0,11700.0,11500.0,1.89M,0.00%
2018-07-02,11100.0,11550.0,11550.0,11100.0,3.79M,-3.90%
2018-07-03,10350.0,11200.0,11250.0,10350.0,6.65M,-6.76%
2018-07-04,10300.0,10500.0,10650.0,10250.0,6.77M,-0.48%
2018-07-05,9720.0,10250.0,10350.0,9670.0,5.66M,-5.63%
2018-07-06,10400.0,9800.0,10400.0,9700.0,8.47M,7.00%
2018-07-09,10400.0,10550.0,10750.0,10400.0,4.72M,0.00%
2018-07-10,10400.0,10400.0,10600.0,10400.0,2.37M,0.00%
2018-07-11,10000.0,10200.0,10300.0,9850.0,4.82M,-3.85%
2018-07-12,10150.0,10000.0,10450.0,10000.0,3.16M,1.50%
2018-07-13,10450.0,10350.0,10500.0,10300.0,2.84M,2.96%
2018-07-16,10500.0,10550.0,10700.0,10450.0,3.02M,0.48%
2018-07-17,10750.0,10450.0,10800.0,10450.0,4.09M,2.38%
2018-07-18,11200.0,10850.0,11200.0,10800.0,5.79M,4.19%
2018-07-19,11000.0,11200.0,11200.0,10900.0,3.34M,-1.79%
2018-07-20,11000.0,10950.0,11100.0,10800.0,4.08M,0.00%
2018-07-23,11750.0,11300.0,11750.0,11250.0,14.24M,6.82%
2018-07-24,11400.0,11600.0,11800.0,11400.0,5.42M,-2.98%
2018-07-25,11200.0,11400.0,11550.0,11200.0,3.15M,-1.75%
2018-07-26,11250.0,11200.0,11350.0,11050.0,4.44M,0.45%
2018-07-27,11200.0,11300.0,11400.0,11200.0,2.79M,-0.44%
2018-07-30,11500.0,11300.0,11550.0,11250.0,5.19M,2.68%
2018-07-31,11450.0,11500.0,11700.0,11350.0,4.23M,-0.43%
2018-08-01,11300.0,11450.0,11550.0,11300.0,2.52M,-1.31%
2018-08-02,11050.0,11250.0,11300.0,10950.0,7.58M,-2.21%
2018-08-03,11050.0,11250.0,11300.0,11050.0,2.41M,0.00%
2018-08-06,11150.0,11050.0,11350.0,11000.0,3.13M,0.90%
2018-08-07,11150.0,11200.0,11250.0,11050.0,2.23M,0.00%
2018-08-08,11350.0,11200.0,11350.0,11100.0,3.48M,1.79%
2018-08-09,11300.0,11400.0,11650.0,11200.0,8.04M,-0.44%
2018-08-10,11250.0,11250.0,11350.0,11200.0,3.20M,-0.44%
2018-08-13,11800.0,11250.0,11800.0,11200.0,10.74M,4.89%
2018-08-14,11600.0,11800.0,11850.0,11600.0,3.49M,-1.69%
2018-08-15,11400.0,11700.0,11750.0,11350.0,5.35M,-1.72%
2018-08-16,11400.0,11300.0,11400.0,11150.0,5.99M,0.00%
2018-08-17,11200.0,11550.0,11600.0,11200.0,3.02M,-1.75%
2018-08-20,11150.0,11200.0,11300.0,11150.0,4.79M,-0.45%
2018-08-21,11200.0,11150.0,11300.0,11150.0,5.56M,0.45%
2018-08-22,11450.0,11500.0,11600.0,11400.0,6.52M,2.23%
2018-08-23,11400.0,11450.0,11500.0,11350.0,3.56M,-0.44%
2018-08-24,11300.0,11350.0,11450.0,11250.0,3.59M,-0.88%
2018-08-27,11400.0,11400.0,11550.0,11350.0,4.28M,0.88%
2018-08-28,11500.0,11500.0,11550.0,11400.0,3.74M,0.88%
2018-08-29,11400.0,11500.0,11550.0,11350.0,2.62M,-0.87%
2018-08-30,11500.0,11450.0,11550.0,11300.0,5.94M,0.88%
2018-08-31,11350.0,11550.0,11550.0,11350.0,6.90M,-1.30%
2018-09-04,11250.0,11350.0,11400.0,11200.0,4.33M,-0.88%
2018-09-05,11100.0,11250.0,11250.0,11050.0,4.08M,-1.33%
2018-09-06,11050.0,11150.0,11200.0,11000.0,3.47M,-0.45%
2018-09-07,11300.0,11300.0,11500.0,11250.0,4.70M,2.26%
2018-09-10,11750.0,11350.0,11800.0,11350.0,18.10M,3.98%
2018-09-11,11800.0,11750.0,11850.0,11600.0,6.15M,0.43%
2018-09-12,12100.0,12000.0,12300.0,11900.0,13.22M,2.54%
2018-09-13,12050.0,12200.0,12200.0,12050.0,7.45M,-0.41%
2018-09-14,12000.0,12100.0,12200.0,11950.0,5.25M,-0.41%
2018-09-17,11850.0,12000.0,12050.0,11850.0,7.06M,-1.25%
2018-09-18,12400.0,11800.0,12400.0,11650.0,9.70M,4.64%
2018-09-19,12550.0,12450.0,12750.0,12350.0,11.80M,1.21%
2018-09-20,12650.0,12550.0,12650.0,12500.0,4.63M,0.80%
2018-09-21,12700.0,12650.0,12900.0,12600.0,14.01M,0.40%
2018-09-24,12550.0,12800.0,12850.0,12500.0,7.25M,-1.18%
2018-09-25,12650.0,12550.0,12800.0,12500.0,4.62M,0.80%
2018-09-26,12700.0,12600.0,12900.0,12600.0,6.32M,0.40%
2018-09-27,12650.0,12750.0,12850.0,12600.0,4.74M,-0.39%
2018-09-28,13500.0,12700.0,13500.0,12650.0,27.26M,6.72%
2018-10-01,13850.0,13800.0,14400.0,13700.0,22.13M,2.59%
2018-10-02,13900.0,13900.0,14050.0,13700.0,9.28M,0.36%
2018-10-03,13850.0,13800.0,14050.0,13800.0,16.35M,-0.36%
2018-10-04,13850.0,13900.0,13950.0,13800.0,8.96M,0.00%
2018-10-05,13800.0,13800.0,14300.0,13750.0,19.48M,-0.36%
2018-10-08,13850.0,13650.0,13950.0,13600.0,17.69M,0.36%
2018-10-09,13550.0,13950.0,13950.0,13400.0,19.46M,-2.17%
2018-10-10,13400.0,13500.0,13600.0,13300.0,9.02M,-1.11%
2018-10-11,12500.0,12950.0,13100.0,12500.0,24.73M,-6.72%
2018-10-12,13050.0,12400.0,13100.0,12300.0,14.99M,4.40%
2018-10-15,12950.0,13000.0,13200.0,12900.0,7.83M,-0.77%
2018-10-16,13600.0,13000.0,13600.0,13000.0,9.79M,5.02%
2018-10-17,13550.0,13900.0,13900.0,13450.0,8.92M,-0.37%
2018-10-18,13500.0,13350.0,13850.0,13350.0,14.18M,-0.37%
2018-10-19,13450.0,13300.0,13600.0,13250.0,8.31M,-0.37%
2018-10-22,12950.0,13350.0,13500.0,12950.0,8.69M,-3.72%
2018-10-23,12550.0,12800.0,12950.0,12350.0,9.77M,-3.09%
2018-10-24,12600.0,12600.0,12850.0,12550.0,6.59M,0.40%
2018-10-25,12550.0,11950.0,12650.0,11950.0,6.17M,-0.40%
2018-10-26,12300.0,12750.0,12750.0,12300.0,5.79M,-1.99%
2018-10-29,12000.0,12300.0,12350.0,11950.0,5.71M,-2.44%
2018-10-30,11950.0,11950.0,12300.0,11900.0,5.09M,-0.42%
2018-10-31,12500.0,12200.0,12500.0,12150.0,5.14M,4.60%
2018-11-01,12200.0,12550.0,12600.0,12200.0,3.09M,-2.40%
2018-11-02,12400.0,12350.0,12550.0,12200.0,6.06M,1.64%
2018-11-05,12350.0,12300.0,12400.0,12200.0,3.02M,-0.40%
2018-11-06,12250.0,12400.0,12500.0,12250.0,3.48M,-0.81%
2018-11-07,12700.0,12250.0,12800.0,12150.0,11.33M,3.67%
2018-11-08,12600.0,12950.0,12950.0,12600.0,3.12M,-0.79%
2018-11-09,12350.0,12550.0,12650.0,12350.0,3.51M,-1.98%
2018-11-12,12200.0,12200.0,12350.0,12050.0,4.62M,-1.21%
2018-11-13,12000.0,12000.0,12200.0,11950.0,5.03M,-1.64%
2018-11-14,11950.0,12000.0,12200.0,11950.0,3.23M,-0.42%
2018-11-15,12000.0,12000.0,12050.0,11850.0,3.88M,0.42%
2018-11-16,12100.0,12100.0,12250.0,12000.0,3.93M,0.83%
2018-11-19,12300.0,12250.0,12350.0,12100.0,3.05M,1.65%
2018-11-20,12200.0,12250.0,12300.0,12150.0,2.69M,-0.81%
2018-11-21,12250.0,12050.0,12250.0,12050.0,2.55M,0.41%
2018-11-22,12400.0,12300.0,12450.0,12250.0,4.90M,1.22%
2018-11-23,12250.0,12300.0,12400.0,12250.0,2.13M,-1.21%
2018-11-26,12300.0,12250.0,12300.0,12150.0,1.56M,0.41%
2018-11-27,12150.0,12300.0,12400.0,12150.0,2.87M,-1.22%
2018-11-28,12250.0,12100.0,12250.0,12100.0,1.97M,0.82%
2018-11-29,12150.0,12300.0,12350.0,12150.0,3.19M,-0.82%
2018-11-30,12150.0,12150.0,12250.0,12100.0,2.72M,0.00%
2018-12-03,12800.0,12400.0,12800.0,12300.0,10.67M,5.35%
2018-12-04,12800.0,12800.0,12900.0,12650.0,5.84M,0.00%
2018-12-05,12700.0,12550.0,12850.0,12550.0,6.62M,-0.78%
2018-12-06,12600.0,12650.0,12750.0,12550.0,4.74M,-0.79%
2018-12-07,12650.0,12650.0,12850.0,12600.0,5.04M,0.40%
2018-12-10,12500.0,12600.0,12600.0,12450.0,4.48M,-1.19%
2018-12-11,12500.0,12550.0,12600.0,12450.0,2.97M,0.00%
2018-12-12,12700.0,12500.0,12750.0,12500.0,2.71M,1.60%
2018-12-13,12900.0,12800.0,13100.0,12750.0,8.93M,1.57%
2018-12-14,12800.0,12900.0,13000.0,12700.0,3.74M,-0.78%
2018-12-17,12500.0,12650.0,12700.0,12500.0,3.97M,-2.34%
2018-12-18,12400.0,12300.0,12450.0,12200.0,5.28M,-0.80%
2018-12-19,12450.0,12450.0,12450.0,12200.0,3.15M,0.40%
2018-12-20,12250.0,12300.0,12400.0,12200.0,3.41M,-1.61%
2018-12-21,12100.0,12150.0,12300.0,12100.0,3.67M,-1.22%
2018-12-24,12150.0,12300.0,12450.0,12150.0,3.32M,0.41%
2018-12-25,11950.0,12000.0,12100.0,11700.0,6.73M,-1.65%
2018-12-26,11950.0,12000.0,12150.0,11950.0,2.47M,0.00%
2018-12-27,12000.0,12200.0,12250.0,12000.0,2.09M,0.42%
2018-12-28,11950.0,12000.0,12150.0,11950.0,2.11M,-0.42%
2019-01-02,11600.0,12000.0,12050.0,11600.0,3.86M,-2.93%
2019-01-03,11100.0,11500.0,11650.0,11100.0,6.28M,-4.31%
2019-01-04,11150.0,11000.0,11350.0,10900.0,3.83M,0.45%
2019-01-07,11500.0,11400.0,11600.0,11350.0,3.70M,3.14%
2019-01-08,11350.0,11500.0,11500.0,11300.0,1.57M,-1.30%
2019-01-09,11400.0,11400.0,11550.0,11400.0,2.63M,0.44%
2019-01-10,11400.0,11500.0,11500.0,11350.0,2.07M,0.00%
2019-01-11,11400.0,11450.0,11500.0,11300.0,2.17M,0.00%
2019-01-14,11200.0,11400.0,11450.0,11200.0,1.93M,-1.75%
2019-01-15,11300.0,11250.0,11350.0,11200.0,2.16M,0.89%
2019-01-16,11300.0,11400.0,11450.0,11300.0,2.68M,0.00%
2019-01-17,11200.0,11200.0,11400.0,11150.0,1.74M,-0.88%
2019-01-18,11250.0,11250.0,11300.0,11050.0,2.62M,0.45%
2019-01-21,11700.0,11350.0,11850.0,11250.0,6.69M,4.00%
2019-01-22,11750.0,11850.0,11850.0,11700.0,4.05M,0.43%
2019-01-23,12150.0,11750.0,12250.0,11700.0,7.82M,3.40%
2019-01-24,12200.0,12100.0,12200.0,12000.0,3.75M,0.41%
2019-01-25,12300.0,12200.0,12400.0,12150.0,6.42M,0.82%
2019-01-28,12250.0,12350.0,12350.0,12100.0,2.70M,-0.41%
2019-01-29,12150.0,12200.0,12200.0,12050.0,2.87M,-0.82%
2019-01-30,12000.0,12150.0,12200.0,12000.0,2.49M,-1.23%
2019-01-31,12300.0,12100.0,12400.0,12000.0,5.06M,2.50%
2019-02-01,12400.0,12300.0,12400.0,12200.0,3.35M,0.81%
2019-02-11,12950.0,12500.0,12950.0,12450.0,6.86M,4.44%
2019-02-12,13000.0,12850.0,13100.0,12800.0,6.46M,0.39%
2019-02-13,13000.0,13000.0,13100.0,12950.0,6.89M,0.00%
2019-02-14,12950.0,12900.0,13050.0,12900.0,4.82M,-0.38%
2019-02-15,13000.0,12900.0,13050.0,12750.0,4.51M,0.39%
2019-02-18,13100.0,13050.0,13200.0,12950.0,3.71M,0.77%
2019-02-19,12800.0,13150.0,13150.0,12800.0,5.25M,-2.29%
2019-02-20,12900.0,12850.0,13050.0,12700.0,5.45M,0.78%
2019-02-21,13000.0,12950.0,13000.0,12800.0,4.12M,0.78%
2019-02-22,13050.0,12800.0,13150.0,12800.0,5.73M,0.38%
2019-02-25,12900.0,13100.0,13150.0,12900.0,6.90M,-1.15%
2019-02-26,12800.0,12900.0,12950.0,12700.0,3.76M,-0.78%
2019-02-27,12700.0,12800.0,12900.0,12700.0,2.41M,-0.78%
2019-02-28,12300.0,12750.0,12850.0,12300.0,8.44M,-3.15%
2019-03-01,12650.0,12500.0,12650.0,12450.0,2.60M,2.85%
2019-03-04,12750.0,12750.0,12800.0,12650.0,3.06M,0.79%
2019-03-05,12700.0,12750.0,12900.0,12650.0,4.73M,-0.39%
2019-03-06,12650.0,12700.0,12750.0,12600.0,2.02M,-0.39%
2019-03-07,12800.0,12650.0,12900.0,12650.0,3.50M,1.19%
2019-03-08,12600.0,12700.0,12750.0,12550.0,2.90M,-1.56%
2019-03-11,12550.0,12600.0,12650.0,12450.0,2.11M,-0.40%
2019-03-12,12700.0,12600.0,12700.0,12500.0,3.78M,1.20%
2019-03-13,12800.0,12750.0,12950.0,12750.0,6.15M,0.79%
2019-03-14,13000.0,12850.0,13150.0,12750.0,8.48M,1.56%
2019-03-15,12950.0,13000.0,13050.0,12850.0,4.40M,-0.38%
2019-03-18,12850.0,12950.0,13050.0,12850.0,3.31M,-0.77%
2019-03-19,12700.0,12800.0,12900.0,12700.0,4.34M,-1.17%
2019-03-20,12800.0,12650.0,12850.0,12650.0,4.22M,0.79%
2019-03-21,12500.0,12850.0,12900.0,12500.0,4.74M,-2.34%
2019-03-22,12550.0,12600.0,12650.0,12450.0,3.00M,0.40%
2019-03-25,12250.0,12300.0,12450.0,12150.0,3.93M,-2.39%
2019-03-26,12300.0,12300.0,12450.0,12300.0,1.68M,0.41%
2019-03-27,12350.0,12350.0,12400.0,12300.0,1.24M,0.41%
2019-03-28,12150.0,12300.0,12300.0,12150.0,4.03M,-1.62%
2019-03-29,12200.0,12200.0,12350.0,12150.0,3.43M,0.41%
2019-04-01,12400.0,12200.0,12400.0,12200.0,1.69M,1.64%
2019-04-02,12200.0,12450.0,12500.0,12200.0,1.83M,-1.61%
2019-04-03,12250.0,12200.0,12300.0,12150.0,1.43M,0.41%
2019-04-04,12300.0,12300.0,12300.0,12200.0,1.09M,0.41%
2019-04-05,12250.0,12300.0,12300.0,12200.0,1.14M,-0.41%
